Title,Location,Price,Link,Image,Info
Furnished 2BHK U2nd f @ Car parking in Chander Vihar for rent,"Chander Vihar, Delhi","₹ 19,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-750-sq-ft-in-chander-vihar-delhi-iid-1818437948,https://apollo.olx.in:443/v1/files/e3u394w5xdiq1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 750 sqft
II DG REAL ESTATE II 2BHK SEMI FURNISHED NEAR METRO,"Ramesh Nagar, Delhi","₹ 32,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1820614161,https://apollo.olx.in:443/v1/files/ovicqcjuwsli2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
Giving on rent,"Kanwar Singh Nagar, Delhi","₹ 7,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-50-sq-ft-in-kanwar-singh-nagar-delhi-iid-1820720661,https://apollo.olx.in:443/v1/files/5pddza8ipqte2-IN/image;s=150x0;q=50;f=webp;,1 BHK - 2 Bathroom - 50 sqft
2 BHK Fully Furnished Ground Floor for Rent,"Ramesh Nagar, Delhi","₹ 41,999",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1001-sq-ft-in-ramesh-nagar-delhi-iid-1814000667,https://apollo.olx.in:443/v1/files/2e90ai4fxv5j1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1001 sqft
II DHRUV GOHRI II FULLY FURNISHED 2BHK WELL MAINTAINED,"Rajouri Garden, Delhi","₹ 37,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-rajouri-garden-delhi-iid-1793288751,https://apollo.olx.in:443/v1/files/ohv5rk5ja2zp-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DG REAL ESTATE II 2BHK UPP GROUND & 1ST FLOOR AVAILABLE FOR RENT,"Ramesh Nagar, Delhi","₹ 34,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1785073223,https://apollo.olx.in:443/v1/files/i5qgfllzokwj3-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
“2BHK Room for Rent – Nehal Vihar 110041”,"Uday Vihar, Delhi","₹ 8,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-594-sq-ft-in-uday-vihar-delhi-iid-1820712043,https://apollo.olx.in:443/v1/files/plnvdvm2fskk2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 1 Bathroom - 594 sqft
Location Kunwar singh nagar Nilothi More ( Nangloi Metro Station),"Nangloi, Delhi","₹ 7,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-1350-sq-ft-in-nangloi-delhi-iid-1820711729,https://apollo.olx.in:443/v1/files/jewf433f2vgx-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 1350 sqft
Dda flats shivaji enclave,"Shivaji Enclave, Delhi","₹ 6,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-50-sq-ft-in-shivaji-enclave-delhi-iid-1819606148,https://apollo.olx.in:443/v1/files/837c5yy4b28l1-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 50 sqft
II DHRUV GOHRI REAL ESTATE II 3BHK LIFT / PARKING FURNISED FLOOR,"Ramesh Nagar, Delhi","₹ 45,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1250-sq-ft-in-ramesh-nagar-delhi-iid-1798030072,https://apollo.olx.in:443/v1/files/27iypin2nrdo3-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1250 sqft
II DHRUV GOHRI II 1BHK LIFT & PARKING BRAND NEW READY TO MOVE,"Ramesh Nagar, Delhi","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-550-sq-ft-in-ramesh-nagar-delhi-iid-1795806235,https://apollo.olx.in:443/v1/files/r6u4gnmavj4h2-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 550 sqft
3bhk for rent in ramesh nagar in prime location,"Ramesh Nagar, Delhi","₹ 40,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-ramesh-nagar-delhi-iid-1814243508,https://apollo.olx.in:443/v1/files/lohqnnufvtum2-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1500 sqft
3bhk semi furnished in vikaspuri-janakpuri start at 30k nr mkt bank,"Vikaspuri, Delhi","₹ 29,998",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1256-sq-ft-in-vikaspuri-delhi-iid-1805428630,https://apollo.olx.in:443/v1/files/db65hx2j3g8d3-ADVIN/image;s=150x0;q=50;f=webp;,3 BHK - 4 Bathroom - 1256 sqft
3 BHK UPPER FIRST FLOOR READY TO MOVE ONLY SERVICE CLASS FAMILY,"Ramesh Nagar, Delhi","₹ 42,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1800-sq-ft-in-ramesh-nagar-delhi-iid-1817695615,https://apollo.olx.in:443/v1/files/nhzg4gpxs1nk3-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1800 sqft
3000 triple sharing 4000 double sharing  Furnish room tilak nagar,"Tilak Nagar, Delhi","₹ 3,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-400-sq-ft-in-tilak-nagar-delhi-iid-1781516167,https://apollo.olx.in:443/v1/files/da8d4ghdvg2s3-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 400 sqft
"1 BhK, fully furnished .floor in vikas nagar-59","Nilothi, Delhi","₹ 9,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-60-sq-ft-in-nilothi-delhi-iid-1818860596,https://apollo.olx.in:443/v1/files/5zgnkszkr5r7-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 60 sqft
II DG REAL ESTATE II 2BHK UPP. 2ND FLOOR FURNISHED WITHOUT LIFT,"Ramesh Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1813356004,https://apollo.olx.in:443/v1/files/3s51jzeuzjkt2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 1BHK SPACIOUS UNFURNISHED FLOOR NEAR METRO /MARKET,"Ramesh Nagar, Delhi","₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-450-sq-ft-in-ramesh-nagar-delhi-iid-1813350903,https://apollo.olx.in:443/v1/files/0b4bf7daxoaf1-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 450 sqft
1BHK FOR RENT IN SUBHASH NAGAR,"Subhash Nagar, Delhi","₹ 19,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-600-sq-ft-in-subhash-nagar-delhi-iid-1818659767,https://apollo.olx.in:443/v1/files/nr25l28x9yp31-IN/image;s=150x0;q=50;f=webp;,2 BHK - 1 Bathroom - 600 sqft
Fully Furnished home for rent in Vikaspuri,"Vikaspuri, Delhi","₹ 27,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-756-sq-ft-in-vikaspuri-delhi-iid-1801770496,https://apollo.olx.in:443/v1/files/1vd2xhdaob0e1-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 756 sqft
II DG ROOMS II 1BHK FULLY FURNISHED WID ALL BASIC AMENITIES AVAILABLE,"Ramesh Nagar, Delhi","₹ 21,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-450-sq-ft-in-ramesh-nagar-delhi-iid-1819916942,https://apollo.olx.in:443/v1/files/bphr4gpaaiqc1-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 450 sqft
II DG REAL ESTATE II 3BHK FULLY FURNISHED LIFT & PARKING RAJOURI GARDN,"Rajouri Garden, Delhi","₹ 65,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1350-sq-ft-in-rajouri-garden-delhi-iid-1819583768,https://apollo.olx.in:443/v1/files/cz38yjxnptcl2-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1350 sqft
II DG ROOMS II OWNER FREE 1RK FURNISED OPTIONS AVAILABLE,"Ramesh Nagar, Delhi","₹ 18,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-350-sq-ft-in-ramesh-nagar-delhi-iid-1819916500,https://apollo.olx.in:443/v1/files/tmk5b3tx1jys2-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 350 sqft
II DG REAL ESTATE II 2BHK RAMESH NAGAR MAIN MARKET 2ND FLOOR FOR RENT,"Ramesh Nagar, Delhi","₹ 25,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1806028501,https://apollo.olx.in:443/v1/files/aqfy35rehvd92-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DG REAL ESTATE II 2BHK BRAND NEW FLOOR READY TO MOVE PRIME LOCATION,"Ramesh Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1801866404,https://apollo.olx.in:443/v1/files/3ks9xta35wun3-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
II DHRUV GOHRI II 2BHK THREE SIDE OPEN 1ST FLOOR NEAR RAMESH NGR METRO,"Ramesh Nagar, Delhi","₹ 30,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1801866234,https://apollo.olx.in:443/v1/files/qbffgoo77frl2-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DG REAL ESTATE II 2BHK 1ST FLOOR 100 METERS AWAY FROM METRO,"Ramesh Nagar, Delhi","₹ 26,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1800158183,https://apollo.olx.in:443/v1/files/b3bzojlgltvi-ADVIN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 2BHK SEMI FURNISHED 2ND FLOOR READY TO MOVE,"Rajouri Garden, Delhi","₹ 25,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-850-sq-ft-in-rajouri-garden-delhi-iid-1799265923,https://apollo.olx.in:443/v1/files/zz3fca8cqw923-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 850 sqft
II DHRUV GOHRI II 2BHK READY TO MOVE WITH SOFA & BED PARK FACING,"Bali Nagar, Delhi","₹ 28,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-bali-nagar-delhi-iid-1790004594,https://apollo.olx.in:443/v1/files/9jig6q0kulm43-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 2BHK PARK FACING INDEPENDENTS floor,"Ramesh Nagar, Delhi","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1789242823,https://apollo.olx.in:443/v1/files/0leqp2seaepx2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 3BHK INDEPENDENT UPPER GROUND FLOOR READY TO MOVE,"Ramesh Nagar, Delhi","₹ 45,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1250-sq-ft-in-ramesh-nagar-delhi-iid-1784735078,https://apollo.olx.in:443/v1/files/x4c9laivlc02-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1250 sqft
2bhk renovated floor in ramesh nagar in good location,"Ramesh Nagar, Delhi","₹ 27,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1814353704,https://apollo.olx.in:443/v1/files/10m6xogm2ske2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
II DHRUV GOHRI II BRAND NEW 2BHK UPP. GROUND FLOOR LIFT & PARKING,"Bali Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-bali-nagar-delhi-iid-1795111317,https://apollo.olx.in:443/v1/files/hvfm8744sip72-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DHRUV GOHRI II 1BHK FULLY FURNISHED WELL MAINTAINED READY TO MOVE,"Ramesh Nagar, Delhi","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-450-sq-ft-in-ramesh-nagar-delhi-iid-1793293130,https://apollo.olx.in:443/v1/files/kjlfurq91wd12-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 450 sqft
50 Gaj Flour for students,"Uday Vihar, Delhi","₹ 8,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-450-sq-ft-in-uday-vihar-delhi-iid-1820700073,https://apollo.olx.in:443/v1/files/ozaaxei3k25f2-IN/image;s=150x0;q=50;f=webp;,2 BHK - 1 Bathroom - 450 sqft
II DG REAL ESTATE II 2BHK LANDLORD FREE READY TO MOVE NEAR METRO,"Ramesh Nagar, Delhi","₹ 26,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1819912698,https://apollo.olx.in:443/v1/files/m57bco8pe8m11-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DG REAL ESTATE II 2BHK FULLY FURNISHED RADY TO MOVE NEAR METRO,"Ramesh Nagar, Delhi","₹ 39,999",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-ramesh-nagar-delhi-iid-1819912566,https://apollo.olx.in:443/v1/files/u8cz2tkcxwis1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 900 sqft
II DG REAL ESTATE II 3BHK BRAND NEW FULLY FURNISHED NEAR BY METRO,"Rajouri Garden, Delhi","₹ 60,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1250-sq-ft-in-rajouri-garden-delhi-iid-1784476166,https://apollo.olx.in:443/v1/files/y7fg79z5gzfb3-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1250 sqft
kp properties  2bhk for rent,"Ramesh Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1792228182,https://apollo.olx.in:443/v1/files/7llkahluqvkl1-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  1bhk for rent in prime location,"Ramesh Nagar, Delhi","₹ 22,999",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-450-sq-ft-in-ramesh-nagar-delhi-iid-1796605474,https://apollo.olx.in:443/v1/files/u1k3fn0vxik83-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 450 sqft
1bhk for rent in ramesh nagar,"Ramesh Nagar, Delhi","₹ 14,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-450-sq-ft-in-ramesh-nagar-delhi-iid-1793131435,https://apollo.olx.in:443/v1/files/6kthrk2v6w701-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 450 sqft
II DG REAL ESTATE II 3BHK SEMI FURNISHED 3RD FLOOR READY TO MOVE IN,"Bali Nagar, Delhi","₹ 50,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1150-sq-ft-in-bali-nagar-delhi-iid-1819911870,https://apollo.olx.in:443/v1/files/qmg1t9w3amas-IN/image;s=150x0;q=50;f=webp;,3 BHK - 3 Bathroom - 1150 sqft
2bhk for rent in ramesh nagar,"Ramesh Nagar, Delhi","₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1815857470,https://apollo.olx.in:443/v1/files/9byhqo8l5ewa-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
2bhk for rent in ramesh nagar in prime location,"Ramesh Nagar, Delhi","₹ 28,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1812386444,https://apollo.olx.in:443/v1/files/ie5hxbrlb3ef-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  2bhk for rent in prime location,"Subhash Nagar, Delhi","₹ 32,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-subhash-nagar-delhi-iid-1792311502,https://apollo.olx.in:443/v1/files/7nfa5wkb681w-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  2 bhk unfurnished near by ramesh nagar metro,"Ramesh Nagar, Delhi","₹ 32,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1764570811,https://apollo.olx.in:443/v1/files/pjigrh1lez472-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  Near to ramesh nagar metro station,"Ramesh Nagar, Delhi","₹ 24,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-550-sq-ft-in-ramesh-nagar-delhi-iid-1753983470,https://apollo.olx.in:443/v1/files/m3yhs4q2en9e1-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 550 sqft
kp properties  Brand new 2bhk flat for rent near metro,"Ramesh Nagar, Delhi","₹ 32,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1740848741,https://apollo.olx.in:443/v1/files/g4zpg70a5o203-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  Near to ramesh nagar metro station,"Ramesh Nagar, Delhi","₹ 40,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1740848170,https://apollo.olx.in:443/v1/files/mqpuwigqhom31-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  Near to ramesh nagar metro station,"Ramesh Nagar, Delhi","₹ 38,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1740791238,https://apollo.olx.in:443/v1/files/n5jxnm60zgj52-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  Luxury 1bhk flat available for rent in 25k,"Ramesh Nagar, Delhi","₹ 25,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-400-sq-ft-in-ramesh-nagar-delhi-iid-1733730653,https://apollo.olx.in:443/v1/files/n98reaww9ffk-IN/image;s=150x0;q=50;f=webp;,1 BHK - 1 Bathroom - 400 sqft
kp properties  2bhk for rent in ramesh nagar prime location,"Ramesh Nagar, Delhi","₹ 40,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1795235882,https://apollo.olx.in:443/v1/files/hr2977g1lvd31-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
kp properties  2bhk for rent in ramesh nagar in prime location,"Ramesh Nagar, Delhi","₹ 34,999",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-ramesh-nagar-delhi-iid-1792402727,https://apollo.olx.in:443/v1/files/o7bxbosmf4621-IN/image;s=150x0;q=50;f=webp;,2 BHK - 2 Bathroom - 1000 sqft
